Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.09326E-4,43.516857773,0.727805924,0.061801596,0.427701674,0
3.09872E-4,44.630966544,0.72843118,0.060433295,0.441019787,0
3.10861E-4,44.755095016,0.729558817,0.060281262,0.442161339,0
3.11431E-4,45.813424927,0.730205675,0.058988978,0.454718417,0
3.12074E-4,47.153321359,0.730935004,0.057354618,0.470700152,0
3.1358E-4,47.27853144,0.73263351,0.057202585,0.470700152,0
3.13935E-4,47.529538388,0.733033111,0.056898518,0.472983257,0
3.14167E-4,48.126329375,0.733293176,0.056176359,0.479832572,0
3.14577E-4,48.346479855,0.733752894,0.0559103,0.482496195,0
3.15229E-4,49.197329115,0.73448188,0.054884074,0.49238965,0
3.15312E-4,49.260387745,0.734574571,0.054808058,0.492770167,0
3.16867E-4,49.513625173,0.73630569,0.054465983,0.493531202,0
3.17029E-4,50.623069063,0.73648472,0.053173698,0.508371385,0
3.17489E-4,50.908641455,0.736994367,0.052831623,0.511035008,0
3.17866E-4,51.003956651,0.737411291,0.052717598,0.511796043,0
3.17866E-4,51.385395744,0.737411291,0.052223489,0.511796043,0
3.18379E-4,51.512667796,0.737977508,0.052109464,0.517503805,0
3.18565E-4,51.894920496,0.738182756,0.051653364,0.521689498,0
3.18894E-4,52.022379461,0.738544125,0.05150133,0.523211568,0
3.18982E-4,52.88363029,0.738641037,0.050437096,0.523592085,0
3.19915E-4,53.235429852,0.739664883,0.050057013,0.537290715,0
3.19915E-4,53.267421336,0.739664883,0.049980996,0.537290715,0
3.20885E-4,53.748471334,0.740725182,0.049448879,0.542998478,0
3.21332E-4,53.941047071,0.741212676,0.049220829,0.545281583,0
3.21585E-4,54.005338794,0.741487386,0.049144812,0.546042618,0
3.21784E-4,54.777276942,0.741704175,0.048232611,0.554794521,0
3.22065E-4,55.034794672,0.742009086,0.047928544,0.557838661,0
3.22253E-4,55.356966147,0.742213389,0.047548461,0.561643836,0
3.2263E-4,56.840984609,0.742621424,0.045762068,0.563165906,0
3.23188E-4,58.004259314,0.74322489,0.044431775,0.592846271,0
3.23209E-4,58.262826475,0.743247547,0.0440897,0.592846271,0
3.24049E-4,59.26693713,0.744152982,0.042949449,0.607305936,0
3.24207E-4,59.980171218,0.744323469,0.042075257,0.609589041,0
3.2424E-4,60.012595234,0.744358926,0.042075257,0.616057839,0
3.24434E-4,61.180357928,0.744566813,0.040706956,0.629756469,0
3.24449E-4,62.088773439,0.744583653,0.039642721,0.640410959,0
3.24449E-4,62.445667585,0.744583653,0.039186621,0.640410959,0
3.2457E-4,62.510581515,0.744713015,0.039110604,0.644977169,0
3.24998E-4,63.517746014,0.745172875,0.037970353,0.657153729,0
3.25255E-4,64.103137174,0.745448215,0.037286203,0.663622527,0
3.2679E-4,64.266134912,0.747086283,0.037096161,0.664383562,0
3.27144E-4,64.854816538,0.747462301,0.036374002,0.666666667,0
3.28003E-4,65.673611629,0.748373203,0.035461802,0.680745814,0
3.28003E-4,66.559218608,0.748373203,0.034397567,0.680745814,0
3.2922E-4,67.216805181,0.749658698,0.033675409,0.698249619,0
3.2922E-4,67.315571219,0.749658698,0.033523375,0.698249619,0
3.2974E-4,67.743994329,0.750205469,0.033067275,0.7043379,0
3.2974E-4,68.403474109,0.750205469,0.032269099,0.7043379,0
3.30228E-4,68.667624563,0.7507181,0.032003041,0.71499239,0
3.30751E-4,68.965107964,0.751265391,0.031660965,0.71803653,0
