X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
231.0,231.0,train,4.963899428276433E-4,98.98098103298967,0.8760854720598661
232.0,232.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
233.0,233.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
234.0,234.0,train,4.963899428276433E-4,98.98098103298967,0.8760854720598661
235.0,235.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
236.0,236.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
237.0,237.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
238.0,238.0,train,4.8240552436148765E-4,96.792684172647,0.8685771114215101
239.0,239.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
240.0,240.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
241.0,241.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
242.0,242.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
243.0,243.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
244.0,244.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
245.0,245.0,train,4.8240552436148765E-4,96.792684172647,0.8685771114215101
246.0,246.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
247.0,247.0,train,4.8240552436148765E-4,96.792684172647,0.8685771114215101
248.0,248.0,train,4.8240552436148765E-4,96.792684172647,0.8685771114215101
249.0,249.0,train,3.3207563206607334E-4,72.11014245173997,0.7526478725116417
250.0,250.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
251.0,251.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
252.0,252.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
253.0,253.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
254.0,254.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
255.0,255.0,train,7.517079282533761E-5,7.9588102165390975,0.2711015988504947
256.0,256.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
257.0,257.0,train,4.963899428276433E-4,98.98098103298967,0.8760854720598661
258.0,258.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
259.0,259.0,train,4.8240552436148765E-4,96.792684172647,0.8685771114215101
260.0,260.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
261.0,261.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
262.0,262.0,train,4.963899428276433E-4,98.98098103298967,0.8760854720598661
263.0,263.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
264.0,264.0,train,2.0068858147828786E-4,15.622842514454591,0.5701145589825072
265.0,265.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
266.0,266.0,train,4.8405581672785326E-4,97.75756116321978,0.8694863267445611
267.0,267.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
268.0,268.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
269.0,269.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
270.0,270.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
271.0,271.0,train,4.8405581672785326E-4,97.75756116321978,0.8694863267445611
272.0,272.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
273.0,273.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
274.0,274.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
275.0,275.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
276.0,276.0,train,4.8240552436148765E-4,96.792684172647,0.8685771114215101
277.0,277.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
278.0,278.0,train,4.8240552436148765E-4,96.792684172647,0.8685771114215101
279.0,279.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
280.0,280.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
281.0,281.0,train,4.900689714142495E-4,98.29159211225574,0.872746334137686
282.0,282.0,train,2.6396626811101286E-4,30.01212408373407,0.6705816397200939
283.0,283.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
284.0,284.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
285.0,285.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
286.0,286.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
287.0,287.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
288.0,288.0,train,2.6396626811101286E-4,30.01212408373407,0.6705816397200939
289.0,289.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
290.0,290.0,train,4.900689714142495E-4,98.29159211225574,0.872746334137686
291.0,291.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
292.0,292.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
293.0,293.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
294.0,294.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
295.0,295.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
296.0,296.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
297.0,297.0,train,3.185419696647115E-4,51.84759034629075,0.7381570262195379
298.0,298.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
299.0,299.0,train,2.6396626811101286E-4,30.01212408373407,0.6705816397200939
300.0,300.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
301.0,301.0,train,4.900689714142495E-4,98.29159211225574,0.872746334137686
